,stage,feedbackOn,trialsComplete,famInd,features,rule,responseOrder,correctResponse,guess,confidence,correct,rt,pid,numTrainTrials,condition
40,interleaved_epochs,True,41,3,"[6, 1]",2d1,"[5, 3]",3,5,0.48,False,4408,0,216,interleaved
41,interleaved_epochs,True,42,4,"[4, 5]",2d1,"[7, 6]",6,6,0.37,True,3344,0,216,interleaved
42,interleaved_epochs,True,43,1,"[1, 2]",2d1,"[2, 0]",2,2,0.53,True,3247,0,216,interleaved
43,interleaved_epochs,True,44,4,"[2, 1]",2d1,"[6, 7]",7,7,0.46,True,3545,0,216,interleaved
44,interleaved_epochs,True,45,3,"[6, 4]",2d1,"[5, 3]",3,3,0.71,True,3349,0,216,interleaved
45,interleaved_epochs,True,46,4,"[4, 4]",2d1,"[6, 7]",6,6,0.25,True,3522,0,216,interleaved
46,interleaved_epochs,True,47,3,"[1, 6]",2d1,"[5, 3]",5,5,0.74,True,4477,0,216,interleaved
47,interleaved_epochs,True,48,1,"[1, 5]",2d1,"[2, 0]",2,2,1.0,True,2670,0,216,interleaved
48,interleaved_epochs,True,49,1,"[6, 5]",2d1,"[2, 0]",0,0,0.44,True,3298,0,216,interleaved
49,interleaved_epochs,True,50,3,"[6, 3]",2d1,"[5, 3]",3,3,1.0,True,2966,0,216,interleaved
50,interleaved_epochs,True,51,4,"[2, 2]",2d1,"[7, 6]",7,7,1.0,True,3692,0,216,interleaved
51,interleaved_epochs,True,52,3,"[1, 2]",2d1,"[5, 3]",5,5,1.0,True,2557,0,216,interleaved
52,interleaved_epochs,True,53,1,"[4, 2]",2d1,"[2, 0]",0,0,0.58,True,3028,0,216,interleaved
53,interleaved_epochs,True,54,4,"[3, 4]",2d1,"[6, 7]",7,7,1.0,True,3166,0,216,interleaved
54,interleaved_epochs,True,55,1,"[6, 1]",2d1,"[2, 0]",0,0,1.0,True,3400,0,216,interleaved
55,interleaved_epochs,True,56,3,"[3, 3]",2d1,"[5, 3]",5,5,1.0,True,3400,0,216,interleaved
56,interleaved_epochs,True,57,4,"[3, 2]",2d1,"[6, 7]",7,6,1.0,False,3008,0,216,interleaved
57,interleaved_epochs,True,58,1,"[3, 4]",2d1,"[0, 2]",2,2,1.0,True,4333,0,216,interleaved
58,interleaved_epochs,True,59,3,"[3, 1]",2d1,"[5, 3]",5,5,1.0,True,3901,0,216,interleaved
59,interleaved_epochs,True,60,4,"[1, 1]",2d1,"[7, 6]",7,7,1.0,True,3970,0,216,interleaved
60,interleaved_epochs,True,61,3,"[2, 3]",2d1,"[3, 5]",5,5,1.0,True,3846,0,216,interleaved
61,interleaved_epochs,True,62,1,"[2, 3]",2d1,"[2, 0]",2,2,1.0,True,3182,0,216,interleaved
62,interleaved_epochs,True,63,4,"[2, 6]",2d1,"[6, 7]",7,7,1.0,True,3676,0,216,interleaved
63,interleaved_epochs,True,64,1,"[3, 1]",2d1,"[2, 0]",2,2,1.0,True,5550,0,216,interleaved
64,interleaved_epochs,True,65,4,"[2, 4]",2d1,"[6, 7]",7,6,1.0,False,3079,0,216,interleaved
65,interleaved_epochs,True,66,3,"[2, 2]",2d1,"[5, 3]",5,5,1.0,True,4339,0,216,interleaved
66,interleaved_epochs,True,67,1,"[6, 6]",2d1,"[0, 2]",0,0,1.0,True,3158,0,216,interleaved
67,interleaved_epochs,True,68,3,"[5, 3]",2d1,"[5, 3]",3,3,1.0,True,3260,0,216,interleaved
68,interleaved_epochs,True,69,4,"[2, 5]",2d1,"[7, 6]",7,7,1.0,True,3413,0,216,interleaved
69,interleaved_epochs,True,70,3,"[1, 3]",2d1,"[5, 3]",5,5,1.0,True,3049,0,216,interleaved
70,interleaved_epochs,True,71,4,"[6, 2]",2d1,"[7, 6]",6,6,1.0,True,3444,0,216,interleaved
71,interleaved_epochs,True,72,1,"[5, 6]",2d1,"[0, 2]",0,0,1.0,True,3477,0,216,interleaved
72,interleaved_epochs,True,73,3,"[4, 3]",2d1,"[5, 3]",3,3,1.0,True,2883,0,216,interleaved
73,interleaved_epochs,True,74,1,"[3, 3]",2d1,"[2, 0]",2,2,0.4,True,4108,0,216,interleaved
74,interleaved_epochs,True,75,4,"[1, 3]",2d1,"[6, 7]",7,7,0.38,True,4747,0,216,interleaved
75,interleaved_epochs,True,76,3,"[3, 6]",2d1,"[3, 5]",5,5,0.4,True,5666,0,216,interleaved
76,interleaved_epochs,True,77,1,"[3, 5]",2d1,"[2, 0]",2,2,0.45,True,4600,0,216,interleaved
77,interleaved_epochs,True,78,4,"[6, 1]",2d1,"[6, 7]",6,6,1.0,True,3094,0,216,interleaved
78,interleaved_epochs,True,79,3,"[4, 1]",2d1,"[3, 5]",3,3,0.5700000000000001,True,4785,0,216,interleaved
79,interleaved_epochs,True,80,4,"[3, 1]",2d1,"[6, 7]",7,7,0.49,True,3274,0,216,interleaved
80,interleaved_epochs,True,81,1,"[3, 6]",2d1,"[0, 2]",2,2,0.54,True,3597,0,216,interleaved
81,interleaved_epochs,True,82,4,"[5, 1]",2d1,"[6, 7]",6,6,0.76,True,3665,0,216,interleaved
82,interleaved_epochs,True,83,1,"[4, 6]",2d1,"[2, 0]",0,0,0.58,True,3170,0,216,interleaved
83,interleaved_epochs,True,84,3,"[5, 4]",2d1,"[5, 3]",3,3,0.71,True,2885,0,216,interleaved
84,interleaved_epochs,True,85,1,"[4, 5]",2d1,"[0, 2]",0,0,0.51,True,4004,0,216,interleaved
85,interleaved_epochs,True,86,3,"[4, 4]",2d1,"[5, 3]",3,3,0.7000000000000001,True,2801,0,216,interleaved
86,interleaved_epochs,True,87,4,"[3, 5]",2d1,"[6, 7]",7,7,0.87,True,4071,0,216,interleaved
87,interleaved_epochs,True,88,4,"[1, 6]",2d1,"[6, 7]",7,7,1.0,True,3785,0,216,interleaved
88,interleaved_epochs,True,89,1,"[2, 1]",2d1,"[0, 2]",2,2,1.0,True,4401,0,216,interleaved
89,interleaved_epochs,True,90,3,"[3, 2]",2d1,"[5, 3]",5,5,1.0,True,4356,0,216,interleaved
90,interleaved_epochs,True,91,4,"[5, 4]",2d1,"[6, 7]",6,6,1.0,True,3286,0,216,interleaved
91,interleaved_epochs,True,92,3,"[2, 4]",2d1,"[5, 3]",5,5,1.0,True,5463,0,216,interleaved
92,interleaved_epochs,True,93,1,"[2, 6]",2d1,"[2, 0]",2,2,1.0,True,4572,0,216,interleaved
93,interleaved_epochs,True,94,4,"[5, 2]",2d1,"[6, 7]",6,6,1.0,True,3421,0,216,interleaved
94,interleaved_epochs,True,95,3,"[4, 5]",2d1,"[3, 5]",3,5,1.0,False,3508,0,216,interleaved
95,interleaved_epochs,True,96,1,"[6, 3]",2d1,"[0, 2]",0,0,1.0,True,2771,0,216,interleaved
96,interleaved_epochs,True,97,1,"[5, 4]",2d1,"[0, 2]",0,0,1.0,True,2979,0,216,interleaved
97,interleaved_epochs,True,98,3,"[5, 1]",2d1,"[3, 5]",3,3,1.0,True,9693,0,216,interleaved
98,interleaved_epochs,True,99,4,"[1, 2]",2d1,"[7, 6]",7,7,1.0,True,3178,0,216,interleaved
99,interleaved_epochs,True,100,1,"[5, 5]",2d1,"[0, 2]",0,0,1.0,True,3236,0,216,interleaved
100,interleaved_epochs,True,101,3,"[6, 2]",2d1,"[5, 3]",3,3,1.0,True,2904,0,216,interleaved
101,interleaved_epochs,True,102,4,"[6, 4]",2d1,"[6, 7]",6,6,1.0,True,2799,0,216,interleaved
102,interleaved_epochs,True,103,3,"[4, 2]",2d1,"[5, 3]",3,5,1.0,False,3173,0,216,interleaved
103,interleaved_epochs,True,104,1,"[1, 3]",2d1,"[0, 2]",2,2,1.0,True,3217,0,216,interleaved
104,interleaved_epochs,True,105,4,"[6, 5]",2d1,"[7, 6]",6,6,1.0,True,3672,0,216,interleaved
105,interleaved_epochs,True,106,4,"[3, 6]",2d1,"[7, 6]",7,7,1.0,True,2683,0,216,interleaved
106,interleaved_epochs,True,107,3,"[6, 5]",2d1,"[5, 3]",3,3,1.0,True,3626,0,216,interleaved
107,interleaved_epochs,True,108,1,"[2, 4]",2d1,"[2, 0]",2,2,1.0,True,3176,0,216,interleaved
108,interleaved_epochs,True,109,3,"[5, 6]",2d1,"[3, 5]",3,3,1.0,True,3556,0,216,interleaved
109,interleaved_epochs,True,110,4,"[4, 1]",2d1,"[7, 6]",6,6,1.0,True,4135,0,216,interleaved
110,interleaved_epochs,True,111,1,"[5, 2]",2d1,"[0, 2]",0,0,1.0,True,3040,0,216,interleaved
111,interleaved_epochs,True,112,3,"[5, 5]",2d1,"[3, 5]",3,3,1.0,True,3124,0,216,interleaved
112,interleaved_epochs,True,113,1,"[1, 6]",2d1,"[2, 0]",2,2,1.0,True,3782,0,216,interleaved
113,interleaved_epochs,True,114,4,"[4, 3]",2d1,"[7, 6]",6,6,1.0,True,3170,0,216,interleaved
114,interleaved_epochs,True,115,3,"[2, 5]",2d1,"[5, 3]",5,5,1.0,True,2961,0,216,interleaved
115,interleaved_epochs,True,116,1,"[1, 4]",2d1,"[0, 2]",2,2,1.0,True,3944,0,216,interleaved
116,interleaved_epochs,True,117,4,"[5, 5]",2d1,"[7, 6]",6,6,1.0,True,3337,0,216,interleaved
117,interleaved_epochs,True,118,3,"[5, 2]",2d1,"[5, 3]",3,3,1.0,True,3262,0,216,interleaved
118,interleaved_epochs,True,119,4,"[1, 5]",2d1,"[7, 6]",7,7,1.0,True,4338,0,216,interleaved
119,interleaved_epochs,True,120,1,"[2, 5]",2d1,"[0, 2]",2,2,1.0,True,3660,0,216,interleaved
120,interleaved_epochs,True,121,3,"[4, 6]",2d1,"[5, 3]",3,3,0.34,True,4075,0,216,interleaved
121,interleaved_epochs,True,122,4,"[4, 2]",2d1,"[7, 6]",6,6,1.0,True,2804,0,216,interleaved
122,interleaved_epochs,True,123,1,"[4, 1]",2d1,"[0, 2]",0,0,1.0,True,4002,0,216,interleaved
123,interleaved_epochs,True,124,3,"[1, 5]",2d1,"[5, 3]",5,5,1.0,True,3007,0,216,interleaved
124,interleaved_epochs,True,125,4,"[2, 3]",2d1,"[7, 6]",7,7,1.0,True,3155,0,216,interleaved
125,interleaved_epochs,True,126,1,"[2, 2]",2d1,"[0, 2]",2,2,1.0,True,4421,0,216,interleaved
126,interleaved_epochs,True,127,4,"[4, 6]",2d1,"[7, 6]",6,6,1.0,True,4217,0,216,interleaved
127,interleaved_epochs,True,128,3,"[3, 4]",2d1,"[5, 3]",5,5,1.0,True,3091,0,216,interleaved
128,interleaved_epochs,True,129,1,"[6, 4]",2d1,"[2, 0]",0,0,1.0,True,3316,0,216,interleaved
129,interleaved_epochs,True,130,1,"[4, 3]",2d1,"[0, 2]",0,0,1.0,True,3131,0,216,interleaved
130,interleaved_epochs,True,131,3,"[1, 1]",2d1,"[3, 5]",5,5,1.0,True,7620,0,216,interleaved
131,interleaved_epochs,True,132,4,"[3, 3]",2d1,"[7, 6]",7,6,0.13,False,6321,0,216,interleaved
132,interleaved_epochs,True,133,4,"[5, 3]",2d1,"[6, 7]",6,6,1.0,True,3004,0,216,interleaved
133,interleaved_epochs,True,134,3,"[6, 6]",2d1,"[5, 3]",3,3,1.0,True,2934,0,216,interleaved
134,interleaved_epochs,True,135,1,"[5, 3]",2d1,"[2, 0]",0,0,1.0,True,3236,0,216,interleaved
135,interleaved_epochs,True,136,4,"[6, 6]",2d1,"[6, 7]",6,6,1.0,True,3360,0,216,interleaved
136,interleaved_epochs,True,137,3,"[3, 5]",2d1,"[5, 3]",5,5,1.0,True,4427,0,216,interleaved
137,interleaved_epochs,True,138,1,"[1, 1]",2d1,"[2, 0]",2,2,1.0,True,3231,0,216,interleaved
138,interleaved_epochs,True,139,1,"[5, 1]",2d1,"[0, 2]",0,0,1.0,True,4498,0,216,interleaved
139,interleaved_epochs,True,140,3,"[2, 1]",2d1,"[3, 5]",5,5,1.0,True,3490,0,216,interleaved
140,interleaved_epochs,True,141,4,"[5, 6]",2d1,"[6, 7]",6,6,1.0,True,2813,0,216,interleaved
141,interleaved_epochs,True,142,3,"[2, 6]",2d1,"[5, 3]",5,5,1.0,True,3426,0,216,interleaved
142,interleaved_epochs,True,143,1,"[3, 2]",2d1,"[2, 0]",2,2,0.56,True,5370,0,216,interleaved
143,interleaved_epochs,True,144,4,"[6, 3]",2d1,"[6, 7]",6,6,1.0,True,2731,0,216,interleaved
144,interleaved_epochs,True,145,3,"[1, 4]",2d1,"[3, 5]",5,5,1.0,True,2826,0,216,interleaved
145,interleaved_epochs,True,146,4,"[1, 4]",2d1,"[7, 6]",7,7,1.0,True,3090,0,216,interleaved
146,interleaved_epochs,True,147,1,"[4, 4]",2d1,"[0, 2]",0,0,1.0,True,3105,0,216,interleaved
147,interleaved_epochs,True,148,1,"[6, 2]",2d1,"[2, 0]",0,0,1.0,True,3067,0,216,interleaved
148,interleaved_epochs,True,149,4,"[4, 5]",2d1,"[7, 6]",6,6,1.0,True,5181,0,216,interleaved
149,interleaved_epochs,True,150,3,"[6, 1]",2d1,"[3, 5]",3,3,1.0,True,3871,0,216,interleaved
150,interleaved_epochs,True,151,3,"[6, 4]",2d1,"[3, 5]",3,3,1.0,True,2762,0,216,interleaved
151,interleaved_epochs,True,152,1,"[1, 2]",2d1,"[2, 0]",2,2,1.0,True,3174,0,216,interleaved
152,interleaved_epochs,True,153,4,"[2, 1]",2d1,"[6, 7]",7,7,1.0,True,3416,0,216,interleaved
153,interleaved_epochs,True,154,1,"[1, 5]",2d1,"[2, 0]",2,2,1.0,True,2857,0,216,interleaved
154,interleaved_epochs,True,155,3,"[1, 6]",2d1,"[3, 5]",5,5,1.0,True,3606,0,216,interleaved
155,interleaved_epochs,True,156,4,"[4, 4]",2d1,"[6, 7]",6,6,1.0,True,3086,0,216,interleaved
156,interleaved_epochs,True,157,1,"[6, 5]",2d1,"[2, 0]",0,0,1.0,True,3337,0,216,interleaved
157,interleaved_epochs,True,158,4,"[2, 2]",2d1,"[6, 7]",7,7,1.0,True,3807,0,216,interleaved
158,interleaved_epochs,True,159,3,"[6, 3]",2d1,"[3, 5]",3,3,1.0,True,3980,0,216,interleaved
159,interleaved_epochs,True,160,3,"[1, 2]",2d1,"[3, 5]",5,5,1.0,True,4268,0,216,interleaved
160,interleaved_epochs,True,161,1,"[4, 2]",2d1,"[2, 0]",0,0,0.72,True,4722,0,216,interleaved
161,interleaved_epochs,True,162,4,"[3, 4]",2d1,"[7, 6]",7,7,0.2,True,3326,0,216,interleaved
162,interleaved_epochs,True,163,4,"[3, 2]",2d1,"[6, 7]",7,7,0.46,True,9125,0,216,interleaved
163,interleaved_epochs,True,164,3,"[3, 3]",2d1,"[3, 5]",5,5,0.54,True,3656,0,216,interleaved
164,interleaved_epochs,True,165,1,"[6, 1]",2d1,"[2, 0]",0,0,1.0,True,3141,0,216,interleaved
165,interleaved_epochs,True,166,1,"[3, 4]",2d1,"[2, 0]",2,2,1.0,True,17174,0,216,interleaved
166,interleaved_epochs,True,167,4,"[1, 1]",2d1,"[6, 7]",7,7,1.0,True,7035,0,216,interleaved
167,interleaved_epochs,True,168,3,"[3, 1]",2d1,"[5, 3]",5,5,1.0,True,3396,0,216,interleaved
168,interleaved_epochs,True,169,1,"[2, 3]",2d1,"[2, 0]",2,2,1.0,True,3079,0,216,interleaved
169,interleaved_epochs,True,170,3,"[2, 3]",2d1,"[3, 5]",5,5,1.0,True,2821,0,216,interleaved
170,interleaved_epochs,True,171,4,"[2, 6]",2d1,"[7, 6]",7,7,1.0,True,2976,0,216,interleaved
171,interleaved_epochs,True,172,3,"[2, 2]",2d1,"[3, 5]",5,5,1.0,True,4258,0,216,interleaved
172,interleaved_epochs,True,173,4,"[2, 4]",2d1,"[7, 6]",7,7,1.0,True,2954,0,216,interleaved
173,interleaved_epochs,True,174,1,"[3, 1]",2d1,"[0, 2]",2,0,0.41000000000000003,False,6251,0,216,interleaved
174,interleaved_epochs,True,175,3,"[5, 3]",2d1,"[5, 3]",3,3,1.0,True,3008,0,216,interleaved
175,interleaved_epochs,True,176,1,"[6, 6]",2d1,"[2, 0]",0,0,1.0,True,3208,0,216,interleaved
176,interleaved_epochs,True,177,4,"[2, 5]",2d1,"[6, 7]",7,7,1.0,True,4550,0,216,interleaved
177,interleaved_epochs,True,178,3,"[1, 3]",2d1,"[5, 3]",5,5,1.0,True,3550,0,216,interleaved
178,interleaved_epochs,True,179,1,"[5, 6]",2d1,"[2, 0]",0,0,1.0,True,2845,0,216,interleaved
179,interleaved_epochs,True,180,4,"[6, 2]",2d1,"[7, 6]",6,6,1.0,True,3705,0,216,interleaved
180,interleaved_epochs,True,181,4,"[1, 3]",2d1,"[7, 6]",7,7,1.0,True,4841,0,216,interleaved
181,interleaved_epochs,True,182,1,"[3, 3]",2d1,"[2, 0]",2,2,1.0,True,3710,0,216,interleaved
182,interleaved_epochs,True,183,3,"[4, 3]",2d1,"[5, 3]",3,3,1.0,True,3057,0,216,interleaved
183,interleaved_epochs,True,184,1,"[3, 5]",2d1,"[2, 0]",2,2,1.0,True,5510,0,216,interleaved
184,interleaved_epochs,True,185,3,"[3, 6]",2d1,"[3, 5]",5,3,0.66,False,3537,0,216,interleaved
185,interleaved_epochs,True,186,4,"[6, 1]",2d1,"[6, 7]",6,6,1.0,True,3177,0,216,interleaved
186,interleaved_epochs,True,187,1,"[3, 6]",2d1,"[0, 2]",2,2,1.0,True,3801,0,216,interleaved
187,interleaved_epochs,True,188,3,"[4, 1]",2d1,"[3, 5]",3,3,1.0,True,4827,0,216,interleaved
188,interleaved_epochs,True,189,4,"[3, 1]",2d1,"[6, 7]",7,7,0.32,True,3969,0,216,interleaved
189,interleaved_epochs,True,190,4,"[5, 1]",2d1,"[6, 7]",6,6,0.67,True,2791,0,216,interleaved
190,interleaved_epochs,True,191,1,"[4, 6]",2d1,"[0, 2]",0,0,0.65,True,2921,0,216,interleaved
191,interleaved_epochs,True,192,3,"[5, 4]",2d1,"[3, 5]",3,3,1.0,True,3596,0,216,interleaved
192,interleaved_epochs,True,193,4,"[3, 5]",2d1,"[6, 7]",7,7,0.44,True,3257,0,216,interleaved
193,interleaved_epochs,True,194,1,"[4, 5]",2d1,"[2, 0]",0,0,0.53,True,2844,0,216,interleaved
194,interleaved_epochs,True,195,3,"[4, 4]",2d1,"[3, 5]",3,3,0.63,True,3797,0,216,interleaved
195,interleaved_epochs,True,196,1,"[2, 1]",2d1,"[0, 2]",2,2,1.0,True,3588,0,216,interleaved
196,interleaved_epochs,True,197,4,"[1, 6]",2d1,"[6, 7]",7,7,1.0,True,2902,0,216,interleaved
197,interleaved_epochs,True,198,3,"[3, 2]",2d1,"[3, 5]",5,5,1.0,True,3714,0,216,interleaved
198,interleaved_epochs,True,199,1,"[2, 6]",2d1,"[0, 2]",2,2,1.0,True,5460,0,216,interleaved
199,interleaved_epochs,True,200,4,"[5, 4]",2d1,"[7, 6]",6,6,1.0,True,4108,0,216,interleaved
200,interleaved_epochs,True,201,3,"[2, 4]",2d1,"[5, 3]",5,5,1.0,True,3451,0,216,interleaved
201,interleaved_epochs,True,202,3,"[4, 5]",2d1,"[5, 3]",3,3,1.0,True,2885,0,216,interleaved
202,interleaved_epochs,True,203,1,"[6, 3]",2d1,"[0, 2]",0,0,1.0,True,2772,0,216,interleaved
203,interleaved_epochs,True,204,4,"[5, 2]",2d1,"[6, 7]",6,6,1.0,True,4051,0,216,interleaved
204,interleaved_epochs,True,205,3,"[5, 1]",2d1,"[3, 5]",3,3,1.0,True,3641,0,216,interleaved
205,interleaved_epochs,True,206,1,"[5, 4]",2d1,"[0, 2]",0,0,1.0,True,5343,0,216,interleaved
206,interleaved_epochs,True,207,4,"[1, 2]",2d1,"[7, 6]",7,7,1.0,True,4770,0,216,interleaved
207,interleaved_epochs,True,208,4,"[6, 4]",2d1,"[6, 7]",6,6,1.0,True,3194,0,216,interleaved
208,interleaved_epochs,True,209,3,"[6, 2]",2d1,"[5, 3]",3,3,1.0,True,5465,0,216,interleaved
209,interleaved_epochs,True,210,1,"[5, 5]",2d1,"[0, 2]",0,0,1.0,True,2922,0,216,interleaved
210,interleaved_epochs,True,211,1,"[1, 3]",2d1,"[0, 2]",2,2,1.0,True,3584,0,216,interleaved
211,interleaved_epochs,True,212,3,"[4, 2]",2d1,"[5, 3]",3,3,0.27,True,23052,0,216,interleaved
212,interleaved_epochs,True,213,4,"[6, 5]",2d1,"[7, 6]",6,6,1.0,True,3212,0,216,interleaved
213,interleaved_epochs,True,214,3,"[6, 5]",2d1,"[3, 5]",3,3,1.0,True,4741,0,216,interleaved
214,interleaved_epochs,True,215,4,"[3, 6]",2d1,"[6, 7]",7,7,0.32,True,5568,0,216,interleaved
215,interleaved_epochs,True,216,1,"[2, 4]",2d1,"[0, 2]",2,2,1.0,True,2833,0,216,interleaved
216,test1,False,1,4,"[5, 3]",2d1,"[7, 6]",6,6,1.0,True,2608,0,216,interleaved
217,test1,False,2,1,"[2, 6]",2d1,"[0, 2]",2,2,1.0,True,2921,0,216,interleaved
218,test1,False,3,3,"[1, 4]",2d1,"[5, 3]",5,5,1.0,True,13015,0,216,interleaved
219,test1,False,4,3,"[5, 4]",2d1,"[3, 5]",3,3,1.0,True,8272,0,216,interleaved
220,test1,False,5,4,"[2, 4]",2d1,"[7, 6]",7,7,1.0,True,3219,0,216,interleaved
221,test1,False,6,1,"[4, 3]",2d1,"[2, 0]",0,0,1.0,True,1973,0,216,interleaved
222,test1,False,7,1,"[2, 2]",2d1,"[0, 2]",2,2,1.0,True,1658,0,216,interleaved
223,test1,False,8,3,"[2, 3]",2d1,"[3, 5]",5,5,1.0,True,2332,0,216,interleaved
224,test1,False,9,4,"[2, 5]",2d1,"[6, 7]",7,7,1.0,True,2368,0,216,interleaved
225,test1,False,10,3,"[2, 2]",2d1,"[5, 3]",5,5,1.0,True,1809,0,216,interleaved
226,test1,False,11,4,"[6, 6]",2d1,"[7, 6]",6,6,1.0,True,1759,0,216,interleaved
227,test1,False,12,1,"[5, 4]",2d1,"[2, 0]",0,0,1.0,True,2341,0,216,interleaved
228,test1,False,13,4,"[4, 2]",2d1,"[6, 7]",6,6,1.0,True,2030,0,216,interleaved
229,test1,False,14,1,"[2, 4]",2d1,"[0, 2]",2,2,1.0,True,1636,0,216,interleaved
230,test1,False,15,3,"[2, 5]",2d1,"[5, 3]",5,5,1.0,True,1892,0,216,interleaved
231,test1,False,16,3,"[6, 4]",2d1,"[5, 3]",3,3,1.0,True,1492,0,216,interleaved
232,test1,False,17,4,"[5, 2]",2d1,"[7, 6]",6,6,1.0,True,1749,0,216,interleaved
233,test1,False,18,1,"[1, 6]",2d1,"[0, 2]",2,2,1.0,True,1854,0,216,interleaved
234,test1,False,19,4,"[3, 2]",2d1,"[6, 7]",7,7,1.0,True,4018,0,216,interleaved
235,test1,False,20,1,"[5, 3]",2d1,"[2, 0]",0,0,1.0,True,6471,0,216,interleaved
